Engagement metrics for individual posts. Created date indicates when your post was created. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"Have a safe and fun holiday, everyone! ",https://www.linkedin.com/feed/update/urn:li:activity:7082060900643344385,Organic,,Dr. Kim Thomas,07/04/2023,,,All followers,97,,,3,0.030927835,1,0,0,,0.041237112,
Thank you for a great week at the NATA Annual Conference!,https://www.linkedin.com/feed/update/urn:li:activity:7078833491890614272,Organic,,Dr. Kim Thomas,06/25/2023,,,All followers,210,77,,13,0.061904762,6,1,0,,0.095238097,Video
"Join us at the National Athletic Trainers'​ Association Clinical Symposia & AT Expo at the Indiana Convention Center from June 22-24! 🎉 Discover how to advance your career in athletic training while exploring exciting opportunities on our team. Don't miss out on this chance to take your passion to the next level!  
 
#NATA2023 #AthleticTraining #CareerOpportunities #H2F #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7072635746297208832,Organic,,Bethel Domfeh,06/08/2023,,,All followers,917,,,22,0.023991276,13,1,3,,0.042529989,
"Celebrating Memorial Day with Gratitude 🌟 We extend our heartfelt gratitude to the brave soldiers who sacrifice for our freedom, and to the compassionate athletic trainers who tirelessly provide clinical care and rehabilitation. Thank you for your unwavering dedication! #MemorialDay #HeroesAmongUs #AthleticTrainersSupport #RememberAndHonor #SupportOurHeroes ",https://www.linkedin.com/feed/update/urn:li:activity:7067945966456168448,Organic,,Bethel Domfeh,05/26/2023,,,All followers,158,,,2,0.012658228,7,0,0,,0.056962024,
"As an athletic trainer at Ft. Bliss, Texas, Robert Cadotte is passionate about helping US soldiers overcome injuries and regain their strength and mobility. His dedication to fitness and hiking is reflected in his work, as he develops personalized rehabilitation plans that focus on improving soldiers' physical and mental well-being. If you're ready to join a team that values excellence in Athletic Training, apply for our open positions today.  

https://lnkd.in/e_aRNSMv
 
 #SportsRehabilitation #USMilitary #AthleticTraining #SpringHiring #JoinOurTeam #H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #hiring 
 ",https://www.linkedin.com/feed/update/urn:li:activity:7056311294617874432,Organic,,Bethel Domfeh,04/21/2023,,,All followers,280,,,6,0.021428572,5,0,0,,0.050000001,
"Cognito is proud to recognize the achievements of employees such as Erin Guida MS, ATC, NREMT.
 
“She is a phenomenal employee, and I would love to recognize her for the work she puts in... Erin is very professional, amenable to feedback and changes, and ultimately very passionate about caring for each person who walks through the door.... I would not be able to run a successful sports medicine clinic without Erin!” -- Erin's Director 
 
Team Cognito truly values Erin's hard work and dedication to your H2F program and the Army. 
 
 
#SportsRehabilitation #USMilitary #AthleticTraining #SpringHiring #JoinOurTeam #H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7054850572633403392,Organic,,Bethel Domfeh,04/19/2023,,,All followers,385,,,18,0.046753246,11,1,0,,0.080519482,
"Happy New Month! 🎉 Meet Alexandra Harris, who goes above and beyond to help soldiers recover from injuries sustained in the line of duty. In this photo, Alexandra is showcasing her love for running - one of her favorite ways to stay fit and active. If you share her passion for helping others, apply on our website to become part of our team. 

Let's work together to make a positive impact on the lives of our service members! https://lnkd.in/e_aRNSMv. 

#NationalAthleticTrainerMonth #SportsRehabilitation #USMilitary #AthleticTraining #SpringHiring #JoinOurTeam #H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #hiring",https://www.linkedin.com/feed/update/urn:li:activity:7049025127996370944,Organic,,Bethel Domfeh,04/04/2023,,,All followers,260,,,8,0.030769231,8,0,0,,0.065384619,
"We're excited to introduce you to Kelly Dixon, an Athletic Trainer who’s dedicated to helping our nation's service members receive the best care possible. We asked Kelly what she loves about her job, and here's what she had to say: 
'My favorite part of being an Athletic Trainer for the army is helping our service members get quicker care to reduce acute injuries from becoming chronic. 

Don't miss this opportunity to make a meaningful impact on the lives of those who serve our country. Apply today: https://lnkd.in/e_aRNSMv.

#H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7047242842917801985,Organic,,Bryan Ly,03/30/2023,,,All followers,224,,,4,0.017857144,7,1,0,,0.053571429,
"Happy Athletic Trainer Month! Here's to all the dedicated trainers, like Caroline Durocher, who not only support their athletes, but also lead by example. Caroline is pictured doing her favorite fitness activity, lifting weights, and inspiring us all to push beyond our limits. Ready to join the team? Apply now to become an Athletic Trainer: https://lnkd.in/e_aRNSMv
 
#H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7046905754724827136,Organic,,Bryan Ly,03/29/2023,,,All followers,164,,,7,0.042682927,10,0,0,,0.103658535,
"Have you ever wondered what it's like to be an Athletic Trainer? Meet Rachael Hunt, one of our passionate professionals who makes a difference in the daily lives of service members. 

'I enjoy seeing the impact I make on the service members' daily lives and the camaraderie,' says Rachael. 

She also loves staying active, whether through her work or her favorite fitness activity, dog walking. If you share her passion for helping others and staying fit, apply to become an Athletic Trainer : https://lnkd.in/e_aRNSMv.

#H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7046514536266260480,Organic,,Bethel Domfeh,03/28/2023,,,All followers,223,,,2,0.00896861,10,1,1,,0.062780268,
