Location,Total views
Greater Boston Area,1
"Cincinnati, Ohio Area",3
Greater Los Angeles Area,7
Miami/Fort Lauderdale Area,2
Greater Philadelphia Area,2
"Sacramento, California Area",1
"Beaumont/Port Arthur, Texas Area",1
Washington D.C. Metro Area,1
"Columbia, South Carolina Area",1
"Dover, Delaware Area",3
"Kansas City, Missouri Area",2
"Las Vegas, Nevada Area",1
"Lubbock, Texas Area",1
"Lynchburg, Virginia Area",1
"Orlando, Florida Area",2
"Pensacola, Florida Area",11
"Raleigh-Durham, North Carolina Area",1
"San Antonio, Texas Area",2
"Savannah, Georgia Area",4
"York, Pennsylvania Area",1
"Rajkot Area, India",1
"Bucharest, Romania",1
