# ----------------------------------------
# Report CSV Export
# Account: Cognito Systems, LLC
# Property: Cognito Systems LLC
# ----------------------------------------
#  
# Start date: 20230803
# End date: 20230830
Country ID,Users
BE,1
CA,1
DE,1
FO,2
ID,2
IE,2
IN,5
IT,1
LV,1
NZ,1
RU,1
SG,1
TW,1
US,244
ZA,2

# Start date: 20230803
# End date: 20230830
Country,Users
United States,244
India,5
Faroe Islands,2
Indonesia,2
Ireland,2
South Africa,2
Belgium,1
Canada,1
Germany,1
Italy,1
Latvia,1
New Zealand,1
Russia,1
Singapore,1
Taiwan,1

#  
# Start date: 20230803
# End date: 20230830
City,Users
Mountain View,11
Dallas,10
New York,10
Atlanta,6
Boston,6
Ashburn,5
Aberdeen Proving Ground,4
Chicago,4
Raleigh,4
Reston,4
Charlotte,3
Columbus,3
Jacksonville,3
Philadelphia,3
Phoenix,3
San Antonio,3
San Francisco,3
Bloomington,2
Cypress,2
Delhi,2
Denver,2
Dunnville,2
Fort Polk South,2
Fredericksburg,2
Fremont,2
Indianapolis,2
Junction City,2
Lakeland,2
Los Angeles,2
Louisville,2
Redstone Arsenal,2
Tampa,2
Torshavn,2
Washington,2
Alma,1
Anderlecht,1
Baltimore,1
Bar Harbor,1
Bella Vista,1
Belvidere,1
Bengaluru,1
Blaine,1
Bloomfield,1
Blue Ash,1
Bluffton,1
Boardman,1
Boydton,1
Boynton Beach,1
Brunswick,1
Buchanan,1
Buckeye,1
Camp Springs,1
Canton,1
Cedar City,1
Chester,1
Circleville,1
Clewiston,1
Clinton,1
Columbia,1
Cranberry Township,1
Crestwood,1
Crystal City,1
Cumming,1
Cusseta,1
Detroit,1
Dublin,1
Dulles,1
East Ellijay,1
Edgewood,1
El Paso,1
Enterprise,1
Escondido,1
Everett,1
Exmore,1
Fayetteville,1
Fenton,1
Fond du Lac,1
Fort Drum,1
Fort Thomas,1
Fort Wayne,1
Fort Worth,1
Franklin,1
Galveston,1
Georgetown,1
Greenacres,1
Greensboro,1
Greenville,1
Hendersonville,1
Hennessey,1
Heppner,1
Hollywood,1
Homer,1
Hotchkiss,1
Houston,1
Howard City,1
Humboldt,1
Iowa City,1
Jackson,1
Julesburg,1
Kansas City,1
Kenner,1
Kennett,1
Kissimmee,1
Las Cruces,1
Leominster,1
Lexington,1
Liberty,1
Lowell charter Township,1
Lucknow,1
Lyndon,1
Marysville,1
Mataram,1
McConnelsville,1
Medan,1
Merced,1
Milan,1
Milton,1
Minneapolis,1
Morganfield,1
Muncie,1
Murrieta,1
Nanticoke,1
Napier,1
Nashville,1
Newport News,1
Newton,1
Onaway,1
Orlando,1
Owenton,1
Pacifica,1
Peoria,1
Petersburg,1
Pickens,1
Pittsburgh,1
Port St. Lucie,1
Portland,1
Reading,1
Richland,1
Richmond Hill,1
Rittman,1
Rock Springs,1
Rockville,1
Rome,1
Rosaryville,1
Roseboro,1
Saginaw,1
Salem,1
San Diego,1
San Jose,1
Sandersville,1
Savannah,1
Singapore,1
Springfield,1
Srinagar,1
St. George,1
Stevensville,1
Summerville,1
Timonium,1
Trenton,1
Upper Saint Clair,1
Virginia Beach,1
Wake Forest,1
Warren,1
Warwick,1
Waterloo,1
Watsonville,1
Weslaco,1
West Chicago,1
West Des Moines,1
West Nipissing,1
West Point,1
Westerville,1
Wichita Falls,1
Wilkes-Barre,1
Windsor,1
Zephyrhills,1

#  
# Start date: 20230803
# End date: 20230830
Gender,Users
male,50
female,38

#  
# Start date: 20230803
# End date: 20230830
Interests,Users
Media & Entertainment/Movie Lovers,23
News & Politics/Avid News Readers/Entertainment News Enthusiasts,23
Media & Entertainment/TV Lovers,22
News & Politics/Avid News Readers,22
Media & Entertainment/Light TV Viewers,20
Shoppers/Shopping Enthusiasts,20
Sports & Fitness/Sports Fans/Fans of American Football,20
Technology/Technophiles,20
Travel/Travel Buffs,19
Banking & Finance/Avid Investors,17
Lifestyles & Hobbies/Business Professionals,16
Sports & Fitness/Sports Fans,16
Home & Garden/Home Decor Enthusiasts,15
Media & Entertainment/Music Lovers,14
Sports & Fitness/Health & Fitness Buffs,14
Lifestyles & Hobbies/Shutterbugs,13
Lifestyles & Hobbies/Outdoor Enthusiasts,12
Technology/Social Media Enthusiasts,12
Lifestyles & Hobbies/Family-Focused,11
News & Politics/Avid News Readers/Avid Business News Readers,11
News & Politics/Avid News Readers/Avid Local News Readers,11
Technology/Mobile Enthusiasts,11
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,10
Media & Entertainment/Book Lovers,10
Vehicles & Transportation/Auto Enthusiasts,10

#  
# Start date: 20230803
# End date: 20230830
Age,Users
25-34,22
35-44,15
45-54,14
55-64,13

#  
# Start date: 20230803
# End date: 20230830
Language,Users
English,249
Spanish,6
Chinese,2
French,2
Indonesian,2
Vietnamese,2
Arabic,1
Italian,1
