Interests,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
Media & Entertainment/TV Lovers,22,22,11,0.4583333333333333,0.5,83.63636363636364,98,1,0
Media & Entertainment/Light TV Viewers,21,21,10,0.43478260869565216,0.47619047619047616,86.76190476190476,91,1,0
News & Politics/Avid News Readers/Entertainment News Enthusiasts,21,21,4,0.18181818181818182,0.19047619047619047,4.666666666666667,72,0,0
Lifestyles & Hobbies/Shutterbugs,20,20,7,0.3333333333333333,0.35,82.75,78,0,0
Media & Entertainment/Movie Lovers,20,20,8,0.36363636363636365,0.4,89.9,84,1,0
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,19,18,8,0.4,0.42105263157894735,16.263157894736842,81,2,0
News & Politics/Avid News Readers,17,16,14,0.6363636363636364,0.8235294117647058,126.76470588235294,138,4,0
Shoppers/Shopping Enthusiasts,17,17,9,0.5294117647058824,0.5294117647058824,10.647058823529411,68,0,0
Technology/Social Media Enthusiasts,16,16,7,0.4375,0.4375,9.5,64,1,0
Home & Garden/Home Decor Enthusiasts,15,15,7,0.4666666666666667,0.4666666666666667,11.133333333333333,59,1,0
Sports & Fitness/Health & Fitness Buffs,15,15,9,0.6,0.6,19.333333333333332,78,2,0
Sports & Fitness/Sports Fans/Fans of American Football,15,14,7,0.4117647058823529,0.4666666666666667,122.86666666666666,83,2,0
Lifestyles & Hobbies/Pet Lovers,14,14,6,0.4,0.42857142857142855,118.57142857142857,57,0,0
Technology/Technophiles,14,14,8,0.5333333333333333,0.5714285714285714,19.785714285714285,69,1,0
Banking & Finance/Avid Investors,13,13,6,0.4,0.46153846153846156,9.923076923076923,56,0,0
Shoppers/Bargain Hunters,13,13,8,0.5714285714285714,0.6153846153846154,125.46153846153847,56,0,0
Home & Garden/Do-It-Yourselfers,12,12,2,0.14285714285714285,0.16666666666666666,135.25,46,0,0
Beauty & Wellness/Beauty Mavens,11,11,3,0.2727272727272727,0.2727272727272727,4.545454545454546,38,0,0
Media & Entertainment/Music Lovers/Pop Music Fans,11,11,5,0.4166666666666667,0.45454545454545453,150.36363636363637,46,0,0
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",11,11,1,0.083333333,0.090909091,140.45454545454547,38,0,0
Lifestyles & Hobbies/Outdoor Enthusiasts,10,10,6,0.46153846153846156,0.6,194.5,77,2,0
Media & Entertainment/Music Lovers,10,10,7,0.6363636363636364,0.7,166,46,0,0
Technology/Mobile Enthusiasts,10,10,4,0.4,0.4,2.8,40,0,0
