Interests,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
Media & Entertainment/Movie Lovers,23,23,16,0.666666667,0.695652174,33.2173913,141,5,0
News & Politics/Avid News Readers/Entertainment News Enthusiasts,23,23,17,0.566666667,0.739130435,35.95652174,155,3,0
Media & Entertainment/TV Lovers,22,22,15,0.555555556,0.681818182,31.09090909,132,4,0
News & Politics/Avid News Readers,22,21,18,0.642857143,0.818181818,66.54545455,171,6,0
Media & Entertainment/Light TV Viewers,20,20,14,0.56,0.7,32.55,125,4,0
Shoppers/Shopping Enthusiasts,20,20,18,0.72,0.9,35.35,149,6,0
Sports & Fitness/Sports Fans/Fans of American Football,20,19,19,0.826086957,0.95,38.7,143,6,0
Technology/Technophiles,20,19,20,0.869565217,1,35.8,127,3,0
Travel/Travel Buffs,19,18,16,0.666666667,0.842105263,34.10526316,140,4,0
Banking & Finance/Avid Investors,17,17,13,0.65,0.764705882,42.29411765,114,4,0
Lifestyles & Hobbies/Business Professionals,16,16,15,0.75,0.9375,33.5,121,3,0
Sports & Fitness/Sports Fans,16,16,16,0.761904762,1,87.375,132,4,0
Home & Garden/Home Decor Enthusiasts,15,15,11,0.55,0.733333333,26.26666667,105,4,0
Media & Entertainment/Music Lovers,14,14,14,0.875,1,45.64285714,89,3,0
Sports & Fitness/Health & Fitness Buffs,14,13,12,0.8,0.857142857,91.21428571,92,0,0
Lifestyles & Hobbies/Shutterbugs,13,12,10,0.588235294,0.769230769,25.92307692,79,2,0
Lifestyles & Hobbies/Outdoor Enthusiasts,12,12,12,0.666666667,1,42.33333333,90,3,0
Technology/Social Media Enthusiasts,12,12,9,0.6,0.75,16.83333333,70,3,0
Lifestyles & Hobbies/Family-Focused,11,10,8,0.571428571,0.727272727,38.45454545,78,3,0
News & Politics/Avid News Readers/Avid Business News Readers,11,11,8,0.615384615,0.727272727,48.63636364,72,2,0
News & Politics/Avid News Readers/Avid Local News Readers,11,11,7,0.636363636,0.636363636,40.45454545,81,2,0
Technology/Mobile Enthusiasts,11,11,11,0.785714286,1,37.72727273,64,1,0
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,10,10,6,0.461538462,0.6,60,59,1,0
Media & Entertainment/Book Lovers,10,10,8,0.727272727,0.8,38.6,74,1,0
Vehicles & Transportation/Auto Enthusiasts,10,10,8,0.615384615,0.8,67.1,90,4,0
