Page title and screen class,Views,Users,Views per user,Average engagement time,Event count,Conversions,Total revenue
Athletic Trainers | CognitoSystems,198,145,1.365517241,13.6137931,581,0,0
Government Contracting | Cognito Systems Llc,117,73,1.602739726,17.23287671,320,0,0
CAREERS | CognitoSystems,56,37,1.513513514,41.32432432,178,5,0
Our Solutions | CognitoSystems,14,5,2.8,18.8,18,0,0
(not set),11,12,0.916666667,2.25,47,0,0
Leadership | CognitoSystems,11,4,2.75,25.5,26,0,0
Customer Service Technician Job Details | CognitoSystems,7,5,1.4,13.4,16,0,0
AT Spotlight: Tadd Berg | CognitoSystems,6,3,2,22.66666667,7,0,0
Entrenadores atléticos | CognitoSystems,5,3,1.666666667,5.666666667,11,0,0
AT Spotlight: Kym Mathis | CognitoSystems,4,2,2,67.5,5,0,0
Pelatih Atletik | Sistem Kognito,3,3,1,28.33333333,11,0,0
Preparatori Atletici | CognitoSystems,2,1,2,1,6,0,0
Entraîneurs athlétiques | CognitoSystems,1,1,1,21,1,0,0
Legal Policy | CognitoSystems,1,1,1,0,3,0,0
Privacy Policy | CognitoSystems,1,1,1,0,3,0,0
gsa-8a-stars-iii | CognitoSystems,1,1,1,22,3,0,0
Atletik Antrenörler | CognitoSystems,0,1,0,81,2,0,0
